made,squareMeters,numberOfRooms,hasStorageRoom,hasGuestRoom,price
2005,75523,3,0,7,7559081.5
2015,80771,39,1,2,8085989.5
2021,55712,58,1,9,5574642.1
2012,32316,47,0,3,3232561.2
1990,70429,19,1,4,7055052.0
2012,39223,36,0,1,3926647.2
1995,58682,10,0,5,5876376.5
2003,86929,100,0,10,8696869.3
2012,51522,3,1,5,5154055.2
2021,39686,42,1,3,3970892.1
1993,23563,21,1,10,2366397.3
2011,96470,74,1,9,9652258.1
2008,19127,31,0,4,1914688.8
2004,13087,44,0,0,1320803.4
2018,79770,3,0,7,7986665.8
2009,75985,60,1,5,7607322.9
2011,64169,88,0,9,6420823.1
2013,99371,31,1,8,9944705.3
2016,25966,37,0,6,2604486.6
2017,41792,43,1,5,4187667.7
2009,28795,64,1,0,2888047.9
2000,92383,12,1,1,9244344.0
2019,33279,64,0,1,3333351.9
2020,34782,47,0,2,3482594.0
1993,13386,51,1,4,1342509.3
2018,20883,56,1,10,2091505.8
1994,95121,46,0,10,9515440.4
2003,6071,72,0,2,612471.3
1993,11844,43,0,10,1189939.3
2016,52078,7,0,5,5217708.6
1993,25897,98,1,10,2598763.3
2021,85443,40,1,2,8555234.1
2009,11412,78,0,0,1145642.9
2014,97550,89,0,0,9765099.4
2008,76485,47,0,1,7653300.8
1993,26169,29,1,9,2622399.3
1998,24239,87,0,3,2427801.8
1990,36239,8,1,5,3627708.0
2013,10500,88,0,5,1057021.3
2000,87060,27,0,7,8711426.0
2001,66683,19,1,3,6677649.1
2016,66569,59,1,10,6667802.6
2000,84559,29,1,8,8460604.0
1996,28749,39,1,3,2877997.6
2016,76091,38,0,7,7614076.6
2021,92696,49,1,2,9272740.1
1991,46988,66,1,4,4707341.1
2008,48062,22,1,1,4809993.8
1998,5767,97,1,4,586742.8
2021,59800,47,0,4,5984462.1
2020,54836,25,1,6,5492532.0
1998,54318,10,1,1,5444967.8
1992,70021,52,1,1,7005572.2
2021,54368,11,0,8,5446398.1
1999,31421,29,0,5,3147829.9
1997,63053,6,1,8,6315375.7
1994,4187,89,1,2,421906.4
2016,33108,82,1,2,3316069.6
1990,64393,8,0,6,6441378.0
1999,93876,60,1,8,9390891.9
1993,67040,60,0,0,6714247.3
2013,47938,17,1,8,4797883.3
2010,39090,57,1,6,3917691.0
2005,43609,66,1,7,4364910.5
1990,41998,74,0,9,4203344.0
2017,36496,9,1,0,3656368.7
2016,84016,15,0,2,8410054.6
2005,3087,27,1,1,321717.5
1993,89768,48,0,7,8980518.3
2007,30226,74,0,4,3039243.7
2016,58478,5,1,7,5853710.6
1995,66621,48,1,4,6666403.5
2018,73314,43,0,8,7336538.8
2021,59972,28,1,4,6000826.1
1998,71591,20,0,0,7165980.8
2019,92462,52,0,8,9257840.9
1992,52325,60,1,4,5238533.2
1990,67311,67,1,5,6732249.0
2013,45050,99,0,3,4508695.3
2001,61534,73,1,6,6159875.1
1993,84091,50,0,8,8414104.3
1999,77579,69,1,8,7767797.9
2020,25204,31,0,6,2530488.0
2017,42059,46,1,3,4212125.7
2021,38430,43,0,8,3846214.1
2009,7069,4,1,3,709107.9
2019,34780,75,1,4,3480536.9
2020,12757,100,0,5,1277834.0
1999,33749,74,1,2,3380855.9
2011,600,37,0,1,63402.1
1994,7239,61,0,4,733776.4
1997,34919,20,0,2,3499532.7
1994,25614,29,1,9,2563970.4
2012,51434,64,0,7,5146226.2
2015,78960,55,1,0,7900996.5
2006,70751,64,1,7,7084110.6
2020,81870,60,1,3,8198185.0
2007,91559,36,1,8,9161130.7
2014,72098,9,1,9,7216904.4
2003,23177,19,1,6,2318776.3
2019,39517,92,1,9,3953491.9
1991,55232,23,0,6,5524015.1
2006,53735,49,1,8,5384554.6
1995,67753,72,0,6,6789580.5
2018,1450,59,1,10,146181.8
2019,82141,93,1,4,8225970.9
2013,17868,73,1,2,1792308.3
1995,71397,71,0,2,7145471.5
2003,32623,35,0,8,3267852.3
2010,23841,71,1,1,2390804.0
1991,16495,94,1,7,1650711.1
2002,39109,24,0,9,3917652.2
1991,65151,81,0,4,6522781.1
2013,61484,91,0,3,6154833.3
2002,57160,15,1,2,5724102.2
2021,13346,57,0,8,1336414.1
1997,27351,77,1,0,2738851.7
2020,18466,50,0,5,1849227.0
2004,45441,29,0,6,4552319.4
2001,55933,15,1,6,5599976.1
2011,81936,68,0,0,8198107.1
2011,18237,70,1,9,1833338.1
2018,35631,54,1,10,3568002.8
2002,99683,12,1,6,9977000.2
2010,47664,44,0,6,4770073.0
1993,62887,45,0,4,6293710.3
2000,18470,20,1,6,1852115.0
2001,36031,63,0,4,3612495.1
1993,22776,84,1,7,2278599.3
1992,14830,81,0,9,1487488.2
2012,43944,40,1,6,4403326.2
2016,73062,34,1,0,7313447.6
1998,84284,76,0,6,8432554.8
1991,9619,66,0,10,969806.1
2019,11410,96,1,1,1150663.9
2000,29855,63,0,6,2987645.0
2008,46716,94,0,3,4674140.8
1992,77046,69,0,3,7714235.2
2004,58855,1,0,3,5892518.4
2009,69165,66,1,9,6926290.9
2007,57915,25,0,5,5800324.7
2003,66279,47,0,10,6631365.3
1991,16068,21,0,2,1611707.1
1994,74325,50,0,5,7443433.4
2014,35742,46,0,7,3581003.4
2000,9026,51,0,10,904797.0
2020,16899,19,1,7,1693690.0
2009,99854,82,0,7,9989598.9
2006,33743,56,0,6,3382812.6
2007,72798,22,0,7,7290431.7
1992,86492,21,0,0,8654049.2
2013,38937,35,0,1,3901433.3
1999,24762,22,1,1,2480900.9
1999,91047,45,1,1,9109264.9
2005,55527,64,1,9,5557814.5
2017,70606,17,0,5,7070662.7
1990,67327,47,0,10,6741466.0
2012,6125,90,0,10,615143.2
2013,71833,37,1,6,7185318.3
1995,20811,98,0,3,2090690.5
1999,7643,98,1,7,765618.9
